Status,Date,Deal Type,Address,Beds,Baths,Sqft
N/A,N/A,,N/A,N/A,N/A,N/A
Available,04/30/2025,Wholesaler Deal,"10490 Sw 173rd Ter,Miami , FL 33157",3,2,1570
Available,04/30/2025,Wholesaler Deal,"1739 Nw 113th Ter,Miami , FL 33167",4,2,1126
Available,04/30/2025,Wholesaler Deal,"4631 E 8th Ct,Hialeah, FL 33013",3,2,1048
Available,04/30/2025,Wholesaler Deal,"2095 Nw 131st St,Miami , FL 33167",3,2,1467
Available,04/30/2025,Wholesaler Deal,"420 Ne 135th St,North Miami , FL 33161",2,1,1149
Upcoming,04/30/2025,Foreclosure Auction,N/A,3,2,1255
Upcoming,04/30/2025,Foreclosure Auction,N/A,3,2,1427
Canceled,04/30/2025,Foreclosure Auction,"17200 Nw 16th Ave,Miami, FL 33169",3,2,1764
Canceled,04/29/2025,Foreclosure Auction,"788 Ne 23rd St Unit 2101,Miami, FL 33137",3,5,2315
Canceled,04/29/2025,Foreclosure Auction,"1995 Nw 58th St,Miami, FL 33142",3,2,1038
"Sold for $ 313,200",04/29/2025,N/A,"2325 Nw 88th St,Miami, FL 33147",3,2,2097
Canceled,04/29/2025,Foreclosure Auction,"676 Nw 114th Ave Apt 202,Miami, FL 33172",2,5,758
Canceled,04/29/2025,Foreclosure Auction,"19711 E Oakmont Dr,Hialeah, FL 33015",4,3,2852
Canceled,04/29/2025,Foreclosure Auction,"1706 Nw 69th St,Miami, FL 33147",3,2,966
Canceled,04/28/2025,Foreclosure Auction,"7328 W 29th Ln,Hialeah, FL 33018",4,2,1409
Canceled,04/28/2025,Foreclosure Auction,"7355 Poinciana Ct,Miami Lakes, FL 33014",5,3,2209
Canceled,04/28/2025,Foreclosure Auction,"2328 Nw 67th St,Miami, FL 33147",3,2,1477
"Sold for $ 219,100",04/28/2025,N/A,"7921 Byron Ave Apt 407,Miami Beach, FL 33141",2,2,1102
"Sold for $ 282,100",04/28/2025,N/A,"5372 W 24th Ct # 5372,Hialeah, FL 33016",3,5,1340
Canceled,04/28/2025,Foreclosure Auction,"7505 Nw 169th Ln,Hialeah, FL 33015",3,2,1518
Canceled,04/28/2025,Foreclosure Auction,"725 Ne 76th St,Miami, FL 33138",4,2,2452
"Sold for $ 160,100",04/28/2025,N/A,"7135 Collins Ave Apt 934,Miami Beach, FL 33141",1,2,912
"Sold for $ 860,200",04/28/2025,N/A,"770 Sw 21st Rd,Miami, FL 33129",2,2,1687
Canceled,04/28/2025,Foreclosure Auction,"11340 Sw 155th St,Miami, FL 33157",2,2,1316
Canceled,04/28/2025,Foreclosure Auction,"7244 E Lago Dr,Coral Gables, FL 33143",5,4,4785
Canceled,04/28/2025,Foreclosure Auction,"12219 Sw 14th Ln Apt 2106,Miami, FL 33184",2,2,936
"Sold for $ 1,100",04/28/2025,N/A,"650 Ne 32nd St Unit 5001,Miami, FL 33137",4,5,2378
Canceled,04/28/2025,Foreclosure Auction,"15840 Ne 14th Ct,North Miami Beach, FL 33162",3,2,1219
"Sold for $ 405,100",04/28/2025,N/A,"156 Ne 24th Ave,Homestead, FL 33033",3,5,2115
Canceled,04/28/2025,Foreclosure Auction,"240 E 39th St,Hialeah, FL 33013",3,2,1940
Canceled,04/28/2025,Foreclosure Auction,"10250 Nw 86th St,Doral, FL 33178",4,3,2548
Canceled,04/28/2025,Foreclosure Auction,"10761 Nw 52nd St,Doral, FL 33178",4,2,1886
"Sold for $ 277,800",04/28/2025,N/A,"80 W 50th St,Hialeah, FL 33012",3,2,1674
Canceled,04/28/2025,Foreclosure Auction,"2553 Se 3rd St,Homestead, FL 33033",4,5,2720
"Sold for $ 62,800",04/28/2025,N/A,"2610 Nw 16th Street Rd Apt 17,Miami, FL 33125",2,1,639
"Sold for $ 455,200",04/28/2025,N/A,"90 Alton Rd Apt 712,Miami Beach, FL 33139",2,2,1130
Canceled,04/28/2025,Foreclosure Auction,"12141 Sw 101st Ave,Miami, FL 33176",4,3,2988
Canceled,04/28/2025,Foreclosure Auction,"8025 Sw 107th Ave Apt 303,Miami, FL 33173",2,2,965
Canceled,04/28/2025,Foreclosure Auction,"3720 Nw 20th Ct,Miami, FL 33142",3,2,1344
Canceled,04/28/2025,Foreclosure Auction,"10411 Sw 151st Ter,Miami, FL 33176",3,1,966
Canceled,04/28/2025,Foreclosure Auction,"20308 Nw 27th Ct,Miami Gardens, FL 33056",3,2,1240
Canceled,04/28/2025,Foreclosure Auction,"995 Sw 84th Ave Apt 102,Miami, FL 33144",2,2,893
"Sold for $ 200,100",04/28/2025,N/A,"20155 Sw 188th St,Miami, FL 33187",N/A,N/A,5620
Canceled,04/28/2025,Foreclosure Auction,"16854 Nw 70th Ave,Hialeah, FL 33015",3,2,1382
"Sold for $ 12,000",04/28/2025,N/A,"9800 Nw 28th Ter,Doral, FL 33172",3,2,2488
Canceled,04/28/2025,Foreclosure Auction,"4058 Park Ave,Miami, FL 33133",3,2,2930
Canceled,04/28/2025,Foreclosure Auction,"1422 Coruna Ave,Coral Gables, FL 33156",3,2,1898
Canceled,04/28/2025,Foreclosure Auction,"80 Bahman Ave,Opa-locka, FL 33054",4,2,4154
Canceled,04/28/2025,Foreclosure Auction,"1001 Sw 88th Ct # A,Miami, FL 33174",3,2,1185
Canceled,04/28/2025,Foreclosure Auction,"1093 W 42nd Pl # 22,Hialeah, FL 33012",3,5,1304
Canceled,04/28/2025,Foreclosure Auction,"10230 Sw 168th St,Miami, FL 33157",4,2,1461
Canceled,04/28/2025,Foreclosure Auction,"18301 Sw 107th Ave,Miami, FL 33157",6,2,1300
Canceled,04/28/2025,Foreclosure Auction,"17831 Nw 47th Ave,Miami Gardens, FL 33055",N/A,N/A,N/A
Canceled,04/23/2025,Foreclosure Auction,"14125 Sw 109th Pl,Miami, FL 33176",3,1,1666
Canceled,04/22/2025,Foreclosure Auction,"21291 Ne 28 Ave,Aventura, FL 33180",N/A,N/A,N/A
"Sold for $ 541,000",04/22/2025,N/A,"13118 Sw 90th Pl,Miami, FL 33176",3,2,1727
Canceled,04/22/2025,Foreclosure Auction,"2802 Sw 115th Ave,Miami, FL 33165",4,3,3204
Canceled,04/22/2025,Foreclosure Auction,"14752 Sw 173rd St,Miami, FL 33187",3,2,1588
Canceled,04/22/2025,Foreclosure Auction,"3970 Nw 187th St,Miami Gardens, FL 33055",4,3,2822
Canceled,04/22/2025,Foreclosure Auction,"16920 Nw 36th Ave,Miami Gardens, FL 33056",3,5,1734
"Sold for $ 250,500",04/22/2025,N/A,"2251 Nw 88th St,Miami, FL 33147",7,3,2120
Canceled,04/21/2025,Foreclosure Auction,"9791 Nw 27th St,Doral, FL 33172",3,2,1776
Canceled,04/21/2025,Foreclosure Auction,"7125 W Lago Dr,Coral Gables, FL 33143",6,5,7467
Canceled,04/21/2025,Foreclosure Auction,"74 Ne 205th Ter,Miami, FL 33179",3,2,1364
Canceled,04/21/2025,Foreclosure Auction,"1541 Brickell Ave Apt C1207,Miami, FL 33129",1,5,1117
"Sold for $ 92,400",04/21/2025,N/A,"18659 Sw 107th Ave # 18659,Cutler Bay, FL 33157",N/A,N/A,1608
Canceled,04/21/2025,Foreclosure Auction,"1753 Michigan Ave,Miami Beach, FL 33139",N/A,N/A,4056
Canceled,04/21/2025,Foreclosure Auction,"1750 Jefferson Ave,Miami Beach, FL 33139",3,2,4374
"Sold for $ 190,400",04/21/2025,N/A,"1555 W 44th Pl Apt 103,Hialeah, FL 33012",2,2,903
"Sold for $ 261,400",04/21/2025,N/A,"6547 Sw 116th Pl Apt D,Miami, FL 33173",2,2,1340
Canceled,04/21/2025,Foreclosure Auction,"170 Se 14th St Apt 1807,Miami, FL 33131",1,1,630
Canceled,04/21/2025,Foreclosure Auction,"20401 Nw 22nd Ave,Miami Gardens, FL 33056",3,2,1860
